DATE		,	COUNT
23/08/2017	,	178866.1434
24/08/2017	,	160979.529
25/08/2017	,	160979.529
26/08/2017	,	125206.3004
27/08/2017	,	125206.3004
28/08/2017	,	143092.9147
29/08/2017	,	178866.1434
30/08/2017	,	178866.1434
31/08/2017	,	196752.7577
01/09/2017	,	214639.3721
02/09/2017	,	196752.7577
03/09/2017	,	178866.1434
04/09/2017	,	232525.9864
05/09/2017	,	214639.3721
06/09/2017	,	196752.7577
07/09/2017	,	178866.1434
08/09/2017	,	178866.1434
09/09/2017	,	143092.9147
10/09/2017	,	143092.9147
11/09/2017	,	178866.1434
12/09/2017	,	178866.1434
13/09/2017	,	232525.9864
14/09/2017	,	304072.4437
15/09/2017	,	321959.0581
16/09/2017	,	214639.3721
17/09/2017	,	160979.529
18/09/2017	,	196752.7577
19/09/2017	,	196752.7577
20/09/2017	,	160979.529
21/09/2017	,	160979.529
22/09/2017	,	143092.9147
23/09/2017	,	107319.686
24/09/2017	,	107319.686
25/09/2017	,	125206.3004
26/09/2017	,	125206.3004
27/09/2017	,	125206.3004
28/09/2017	,	125206.3004
29/09/2017	,	125206.3004
30/09/2017	,	107319.686
01/10/2017	,	107319.686
02/10/2017	,	125206.3004
03/10/2017	,	125206.3004
04/10/2017	,	125206.3004
05/10/2017	,	107319.686
06/10/2017	,	107319.686
07/10/2017	,	107319.686
08/10/2017	,	107319.686
09/10/2017	,	143092.9147
10/10/2017	,	160979.529
11/10/2017	,	143092.9147
12/10/2017	,	268299.2151
13/10/2017	,	321959.0581
14/10/2017	,	214639.3721
15/10/2017	,	196752.7577
16/10/2017	,	214639.3721
17/10/2017	,	196752.7577
18/10/2017	,	196752.7577
19/10/2017	,	196752.7577
20/10/2017	,	232525.9864
21/10/2017	,	268299.2151
22/10/2017	,	196752.7577
23/10/2017	,	250412.6007
24/10/2017	,	268299.2151
25/10/2017	,	232525.9864
26/10/2017	,	232525.9864
27/10/2017	,	196752.7577
28/10/2017	,	160979.529
29/10/2017	,	178866.1434
30/10/2017	,	214639.3721
31/10/2017	,	250412.6007
01/11/2017	,	304072.4437
02/11/2017	,	429278.7441
03/11/2017	,	393505.5154
04/11/2017	,	304072.4437
05/11/2017	,	286185.8294
06/11/2017	,	304072.4437
07/11/2017	,	304072.4437
08/11/2017	,	321959.0581
09/11/2017	,	286185.8294
10/11/2017	,	357732.2868
11/11/2017	,	339845.6724
12/11/2017	,	447165.3584
13/11/2017	,	375618.9011
14/11/2017	,	304072.4437
15/11/2017	,	304072.4437
16/11/2017	,	304072.4437
17/11/2017	,	357732.2868
18/11/2017	,	268299.2151
19/11/2017	,	268299.2151
20/11/2017	,	339845.6724
21/11/2017	,	357732.2868
22/11/2017	,	304072.4437
23/11/2017	,	286185.8294
24/11/2017	,	286185.8294
25/11/2017	,	304072.4437
26/11/2017	,	429278.7441
27/11/2017	,	590258.2731
28/11/2017	,	697577.9592
